Date,Day,Gender,City,Food_ordered,Restaurant,order_value,Rating,Payment_option,order_status,veg_non_veg,,,,
03-12-2023,Wednesday,Female,Nagercoil,Paneer tikka,Hotel Junior Kuppanna,1996,3,Credit Card,Delivered,Veg,,,,
13-09-2023,Saturday,Male,Coimbatore,Chicken biryani,Haribhavanam,450,5,Debit Card,Delivered,Non-Veg,,,,
06-11-2023,Friday,Male,Coimbatore,Chilli chicken,Saravana Bhavan,505,3,Debit Card,Delivered,Non-Veg,,,,
11-09-2023,Thursday,Male,Coimbatore,Paneer Hyderabadi Gravy,Hotel Junior Kuppanna,250,4,COD,Delivered,Veg,,,,
26-05-2023,Tuesday,Male,Salem,Tandoori roti,Hotel Saravana Bhavan,3115,4,COD,Delivered,Veg,,,,
10-09-2023,Monday,Male,Tiruvannamalai,chicken biryani,Hotel Anjappar,728,2,Debit Card,Delivered,Non-Veg,,,,
13-09-2023,Monday,Male,Dindigul,Masala dosa,Hotel A2B,793,2,COD,Delivered,Veg,,,,
12-11-2023,Tuesday,Female,Coimbatore,Rose Milk,Sree Annapoorana,85,4,Debit Card,Delivered,Veg,,,,
27-11-2023,Thursday,Female,Thanjavur,Paneer Hyderabadi Gravy,Hotel Saravana Bhavan,941,2,Debit Card,Delivered,Veg,,,,
23-11-2023,Monday,Male,Dindigul,Mutton Briyani,Asife Briyani,245,4,Debit Card,Delivered,Non-Veg,,,,
04-01-2023,Wednesday,Female,Tiruvannamalai,Veg Schezwan Momo,Hotel Junior Kuppanna,1050,5,UPI,Delivered,Veg,,,,
08-02-2023,Sunday,Female,Tiruppur,Chilli chicken,Junior Kuppanna,2216,1,UPI,Delivered,Non-Veg,,,,
28-09-2023,Monday,Female,Salem,Gobi manchurian,Hotel Saravana Bhavan,887,4,Credit Card,Delivered,Veg,,,,
28-11-2023,Wednesday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,590,1,Debit Card,Delivered,Non-Veg,,,,
17-08-2023,Monday,Female,Coimbatore,Schezwan fried rice,Sree Annapoorana,180,5,Credit Card,Delivered,Veg,,,,
20-11-2023,Tuesday,Female,Karur,Chilli chicken,Hotel A2B,2184,5,COD,Delivered,Non-Veg,,,,
15-12-2023,Thursday,Female,Trichy,Paneer Hyderabadi Gravy,Denmarrk Drive-Inn Restaurant,360,1,COD,Delivered,Veg,,,,
18-05-2023,Saturday,Male,Tiruppur,Palak paneer,Hotel A2B,1268,3,UPI,Delivered,Veg,,,,
31-03-2023,Monday,Male,Coimbatore,Egg curry,Haribhavanam,1971,3,Credit Card,Delivered,Non-Veg,,,,
02-11-2023,Thursday,Male,Tiruppur,Chilli chicken,Denmarrk Drive-Inn Restaurant,560,3,UPI,Delivered,Non-Veg,,,,
13-09-2023,Wednesday,Female,Coimbatore,Paneer tikka,Hotel Anjappar,510,3,Credit Card,Delivered,Veg,,,,
26-08-2023,Saturday,Female,Tiruppur,Mushroom Biryani,Hotel Anjappar,1256,3,UPI,Delivered,Veg,,,,
23-02-2023,Friday,Male,Chennai,Veg Schezwan Momo,Junior Kuppanna,1750,5,Credit Card,Delivered,Veg,,,,
06-06-2023,Saturday,Male,Coimbatore,Chettinad chicken Gravy,Haribhavanam,2511,2,COD,Delivered,Non-Veg,,,,
24-11-2023,Wednesday,Male,Erode,Veg Schezwan Momo,Hotel A2B,606,3,UPI,Delivered,Veg,,,,
04-11-2023,Saturday,Male,Pollachi,chicken biryani,Hotel Junior Kuppanna,2705,2,UPI,Delivered,Non-Veg,,,,
01-10-2023,Friday,Female,Madurai,Jigarthanda,Famous Jigarthanda,200,2,COD,Delivered,Veg,,,,
30-06-2023,Friday,Female,Madurai,Paneer tikka,Sree Akshayam,3368,2,UPI,Delivered,Veg,,,,
05-12-2023,Monday,Male,Chennai,Veg Schezwan Momo,Hotel A2B,506,5,Debit Card,Delivered,Veg,,,,
24-11-2023,Friday,Male,Trichy,Grilled Chicken,TOVO Trichy,3183,3,Debit Card,Delivered,Non-Veg,,,,
11-09-2023,Tuesday,Male,Coimbatore,chicken biryani,Hotel Saravana Bhavan,1297,3,COD,Delivered,Non-Veg,,,,
24-11-2023,Sunday,Male,Madurai,Paneer tikka,Hotel Saravana Bhavan,904,4,Debit Card,Delivered,Veg,,,,
17-08-2023,Monday,Male,Coimbatore,Dosa,Hotel Saravana Bhavan,450,2,Credit Card,Delivered,Veg,,,,
24-11-2023,Sunday,Male,Chennai,Mutton Briyani,Asife Briyani,520,3,UPI,Delivered,Non-Veg,,,,
24-11-2023,Tuesday,Male,Pollachi,Dosa,Denmarrk Drive-Inn Restaurant,350,1,Credit Card,Delivered,Veg,,,,
23-02-2023,Sunday,Female,Vellore,Dosa,Hotel Junior Kuppanna,450,4,Credit Card,Delivered,Veg,,,,
14-08-2023,Friday,Male,Madurai,Chettinad chicken Gravy,Khalids Briyani,3390,5,Debit Card,Delivered,Non-Veg,,,,
23-06-2023,Monday,Female,Coimbatore,Mutton Briyani,Asife Briyani,520,4,COD,Delivered,Non-Veg,,,,
01-10-2023,Tuesday,Male,Coimbatore,Veg fried rice,Haribhavanam,684,2,Credit Card,Delivered,Veg,,,,
10-06-2023,Wednesday,Male,Nagercoil,Naan,Hotel Anjappar,1148,1,Debit Card,Delivered,Veg,,,,
25-02-2023,Friday,Female,Nagercoil,Mutton curry,Hotel A2B,227,5,Credit Card,Delivered,Non-Veg,,,,
24-11-2023,Monday,Male,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,905,2,Debit Card,Delivered,Non-Veg,,,,
13-03-2023,Tuesday,Female,Salem,idli,Hotel Junior Kuppanna,75,2,COD,Delivered,Veg,,,,
24-11-2023,Monday,Female,Coimbatore,Veg Schezwan Momo,Haribhavanam,1500,4,COD,Delivered,Veg,,,,
07-11-2023,Sunday,Male,Tirunelveli,Gobi manchurian,Hotel Junior Kuppanna,1769,3,COD,Delivered,Veg,,,,
19-09-2023,Saturday,Male,Dindigul,idli,Hotel A2B,789,3,Credit Card,Delivered,Veg,,,,
26-02-2023,Thursday,Male,Coimbatore,Veg fried rice,Haribhavanam,785,2,UPI,Delivered,Veg,,,,
24-11-2023,Saturday,Male,Nagercoil,Mushroom Biryani,Hotel Saravana Bhavan,411,1,COD,Delivered,Non-Veg,,,,
13-09-2023,Monday,Female,Coimbatore,Rose Milk,Sree Annapoorana,105,2,Credit Card,Delivered,Veg,,,,
16-11-2023,Monday,Female,Tiruvannamalai,Tandoori roti,Hotel Junior Kuppanna,2733,1,UPI,Delivered,Veg,,,,
13-09-2023,Thursday,Male,Trichy,Grilled Chicken,TOVO Trichy,77,1,Debit Card,Delivered,Non-Veg,,,,
09-03-2023,Friday,Female,Tiruvannamalai,Tandoori roti,Hotel Anjappar,2748,5,COD,Delivered,Veg,,,,
02-09-2023,Tuesday,Male,Salem,Mutton curry,Khalids Briyani,1002,2,Debit Card,Delivered,Non-Veg,,,,
13-12-2023,Monday,Female,Trichy,Grilled Chicken,TOVO Trichy,1778,2,COD,Delivered,Non-Veg,,,,
13-09-2023,Sunday,Female,Pollachi,Paneer Hyderabadi Gravy,Hotel Saravana Bhavan,458,1,Debit Card,Delivered,Veg,,,,
04-04-2023,Thursday,Female,Karur,Masala dosa,Hotel Anjappar,3257,5,UPI,Delivered,Veg,,,,
04-10-2023,Saturday,Male,Trichy,Naan,Denmarrk Drive-Inn Restaurant,1242,5,Debit Card,Delivered,Veg,,,,
16-06-2023,Thursday,Female,Coimbatore,Masala dosa,Hotel Junior Kuppanna,1489,3,Debit Card,Delivered,Veg,,,,
05-12-2023,Monday,Male,Vellore,Dosa,Hotel Junior Kuppanna,819,1,Debit Card,Delivered,Veg,,,,
28-08-2023,Sunday,Female,Coimbatore,Appam,Haribhavanam,150,3,Debit Card,Delivered,Veg,,,,
10-08-2023,Friday,Male,Pollachi,Dosa,Hotel Saravana Bhavan,350,1,COD,Delivered,Veg,,,,
07-09-2023,Friday,Female,Tiruppur,Pulao,Sree Akshayam,430,1,COD,Delivered,Veg,,,,
29-09-2023,Friday,Female,Trichy,Grilled Chicken,TOVO Trichy,850,2,Credit Card,Delivered,Non-Veg,,,,
19-11-2023,Thursday,Female,Thanjavur,Mutton curry,Denmarrk Drive-Inn Restaurant,1908,2,Credit Card,Delivered,Non-Veg,,,,
20-12-2023,Wednesday,Male,Trichy,Veg Schezwan Momo,Hotel Anjappar,738,1,Credit Card,Delivered,Veg,,,,
20-11-2023,Saturday,Male,Nagercoil,Egg curry,Hotel Saravana Bhavan,1753,4,Debit Card,Delivered,Non-Veg,,,,
10-11-2023,Thursday,Female,Karur,Veg Schezwan Momo,Denmarrk Drive-Inn Restaurant,504,1,COD,Delivered,Veg,,,,
08-10-2023,Saturday,Female,Vellore,Naan,Zara's Home Food,1350,2,Credit Card,Delivered,Veg,,,,
25-03-2023,Friday,Female,Karur,Chocolate Truffle Cake,The Patisserie Karur,1485,2,COD,Delivered,Veg,,,,
22-04-2023,Tuesday,Female,Coimbatore,Naan,Haribhavanam,2225,5,COD,Delivered,Veg,,,,
17-02-2023,Monday,Male,Vellore,Chilli chicken,Hotel Saravana Bhavan,2135,1,Credit Card,Delivered,Non-Veg,,,,
25-01-2023,Friday,Female,Salem,Shawarma,Barbequeen Restaurant,250,3,COD,Delivered,Veg,,,99,
26-03-2023,Saturday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,649,2,COD,Delivered,Non-Veg,,,,
14-08-2023,Sunday,Female,Chennai,Veg fried rice,Hotel Saravana Bhavan,3282,5,UPI,Delivered,Veg,,,,
02-02-2023,Friday,Female,Vellore,idli,Hotel Anjappar,200,3,Credit Card,Delivered,Veg,,,,
08-11-2023,Tuesday,Female,Madurai,Veg Schezwan Momo,Denmarrk Drive-Inn Restaurant,806,3,Debit Card,Delivered,Veg,,,,
24-04-2023,Tuesday,Female,Erode,Veg fried rice,Hotel Saravana Bhavan,399,5,Debit Card,Delivered,Veg,,,,
16-01-2023,Sunday,Male,Trichy,Mutton Briyani,Asife Briyani,240,2,COD,Delivered,Non-Veg,,,,
03-10-2023,Monday,Female,Erode,Masala dosa,Hotel Junior Kuppanna,2642,2,Debit Card,Delivered,Veg,,,,
12-05-2023,Wednesday,Female,Coimbatore,Rose Milk,Sree Annapoorana,240,4,COD,Delivered,Veg,,,,
21-08-2023,Monday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,1521,4,Credit Card,Delivered,Non-Veg,,,,
09-03-2023,Tuesday,Female,Salem,Shawarma,Barbequeen Restaurant,180,3,UPI,Delivered,Veg,,,99,
18-01-2023,Wednesday,Female,Trichy,Paneer tikka,Denmarrk Drive-Inn Restaurant,2976,1,COD,Delivered,Veg,,,,
08-01-2023,Wednesday,Male,Pollachi,Chettinad chicken Gravy,Hotel Anjappar,1544,1,COD,Delivered,Non-Veg,,,,
03-12-2023,Saturday,Female,Erode,Veg fried rice,Denmarrk Drive-Inn Restaurant,121,5,COD,Delivered,Veg,,,,
14-09-2023,Friday,Female,Pollachi,Mutton Briyani,Asife Briyani,240,5,UPI,Delivered,Non-Veg,,,,
28-10-2023,Thursday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,3146,1,Credit Card,Delivered,Non-Veg,,,,
10-05-2023,Monday,Male,Nagercoil,appam,Hotel A2B,3042,5,UPI,Delivered,Veg,,,,
14-03-2023,Friday,Male,Erode,Naan,Hotel Anjappar,293,5,COD,Delivered,Veg,,,,
26-03-2023,Monday,Female,Nagercoil,Fish fry,Hotel A2B,1180,4,UPI,Delivered,Non-Veg,,,,
17-12-2023,Friday,Female,Trichy,Mushroom Biryani,Denmarrk Drive-Inn Restaurant,1195,1,Debit Card,Delivered,Non-Veg,,,,
28-06-2023,Monday,Male,Coimbatore,Veg Schezwan Momo,Haribhavanam,750,3,Debit Card,Delivered,Veg,,,,
18-03-2023,Thursday,Female,Trichy,Grilled Chicken,TOVO Trichy,3302,1,Debit Card,Delivered,Non-Veg,,,,
29-11-2023,Saturday,Female,Trichy,Grilled Chicken,TOVO Trichy,1016,2,Credit Card,Delivered,Non-Veg,,,,
06-08-2023,Monday,Female,Tiruppur,Chettinad chicken Gravy,Hotel Junior Kuppanna,828,4,UPI,Delivered,Non-Veg,,,,
16-02-2023,Tuesday,Male,Tiruvannamalai,appam,Hotel A2B,1977,2,Debit Card,Delivered,Veg,,,,
11-01-2023,Monday,Female,Salem,Chettinad chicken Gravy,Hotel Anjappar,2318,5,COD,Delivered,Non-Veg,,,,
02-10-2023,Monday,Male,Karur,Veg fried rice,Hotel Anjappar,603,4,Credit Card,Delivered,Veg,,,,
02-12-2023,Saturday,Female,Karur,Chocolate Truffle Cake,The Patisserie Karur,250,2,COD,Delivered,Veg,,,,
04-10-2023,Tuesday,Female,Trichy,Pulao,Hotel A2B,3476,1,Debit Card,Delivered,Veg,,,,
21-01-2023,Thursday,Female,Trichy,Grilled Chicken,TOVO Trichy,2008,4,Credit Card,Delivered,Non-Veg,,,,
17-04-2023,Monday,Female,Vellore,Mushroom Masala,Denmarrk Drive-Inn Restaurant,162,1,UPI,Delivered,Veg,,,,
28-01-2023,Tuesday,Female,Coimbatore,Pulao,Hotel Anjappar,2098,2,Debit Card,Delivered,Veg,,,,
12-02-2023,Thursday,Female,Trichy,idli,Hotel Anjappar,200,3,Debit Card,Delivered,Veg,,,,
11-08-2023,Tuesday,Female,Trichy,Grilled Chicken,TOVO Trichy,2359,5,Credit Card,Delivered,Non-Veg,,,,
22-04-2023,Sunday,Female,Thanjavur,Gobi manchurian,Denmarrk Drive-Inn Restaurant,1818,2,Credit Card,Delivered,Veg,,,,
20-01-2023,Tuesday,Male,Coimbatore,Paneer tikka,Haribhavanam,152,4,Debit Card,Delivered,Veg,,,,
30-06-2023,Tuesday,Male,Thanjavur,Mutton curry,Hotel Junior Kuppanna,1398,5,UPI,Delivered,Non-Veg,,,,
15-02-2023,Tuesday,Female,Coimbatore,Gobi manchurian,Haribhavanam,158,4,COD,Delivered,Veg,,,,
25-10-2023,Wednesday,Female,Vellore,Dosa,Hotel A2B,1392,3,Credit Card,Delivered,Veg,,,,
11-03-2023,Friday,Male,Coimbatore,Paneer tikka,Haribhavanam,563,4,Credit Card,Delivered,Veg,,,,
24-08-2023,Saturday,Male,Coimbatore,Appam,Haribhavanam,300,4,COD,Delivered,Veg,,,,
23-05-2023,Wednesday,Male,Trichy,Mushroom Biryani,Anjappar,550,4,Debit Card,Delivered,Veg,,,,
08-10-2023,Thursday,Female,Tirunelveli,Pulao,Hotel Saravana Bhavan,1239,3,Debit Card,Delivered,Veg,,,,
08-06-2023,Sunday,Female,Dindigul,Egg curry,Hotel Junior Kuppanna,3268,2,Credit Card,Delivered,Non-Veg,,,,
20-01-2023,Tuesday,Female,Coimbatore,Rose Milk,Sree Annapoorana,157,4,Debit Card,Delivered,Veg,,,,
02-08-2023,Monday,Female,Nagercoil,Mutton Briyani,Asife Briyani,240,1,Credit Card,Delivered,Non-Veg,,,,
20-12-2023,Saturday,Male,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,2645,5,Credit Card,Delivered,Non-Veg,,,,
15-02-2023,Friday,Male,Salem,Shawarma,Barbequeen Restaurant,250,3,Credit Card,Delivered,Non-Veg,,,99,
17-04-2023,Saturday,Female,Karur,Chocolate Truffle Cake,The Patisserie Karur,150,4,UPI,Delivered,Veg,,,,
13-08-2023,Thursday,Female,Tirunelveli,Chettinad chicken Gravy,Hotel Junior Kuppanna,2566,4,COD,Delivered,Non-Veg,,,,
20-06-2023,Monday,Female,Salem,Mushroom Masala,Denmarrk Drive-Inn Restaurant,1953,5,Debit Card,Delivered,Veg,,,,
02-11-2023,Thursday,Female,Karur,Pulao,Denmarrk Drive-Inn Restaurant,1712,2,COD,Delivered,Veg,,,,
02-09-2023,Tuesday,Male,Pollachi,Tandoori roti,Hotel A2B,3293,4,COD,Delivered,Veg,,,,
12-11-2023,Monday,Female,Vellore,Mutton curry,Hotel Saravana Bhavan,2950,5,Debit Card,Delivered,Non-Veg,,,,
17-04-2023,Friday,Male,Dindigul,Chettinad chicken Gravy,Zara's Home Food,785,1,UPI,Delivered,Non-Veg,,,,
20-10-2023,Thursday,Male,Tirunelveli,Gobi manchurian,Denmarrk Drive-Inn Restaurant,2785,5,UPI,Delivered,Veg,,,,
07-09-2023,Thursday,Female,Coimbatore,Mushroom Masala,Haribhavanam,1809,3,UPI,Delivered,Veg,,,,
18-05-2023,Friday,Male,Coimbatore,Mushroom Masala,Haribhavanam,905,3,COD,Delivered,Veg,,,,
22-09-2023,Monday,Male,Coimbatore,Chilli chicken,Haribhavanam,1805,3,UPI,Delivered,Non-Veg,,,,
27-10-2023,Sunday,Male,Coimbatore,Dosa,Haribhavanam,250,3,Debit Card,Delivered,Veg,,,,
22-06-2023,Thursday,Female,Trichy,Veg Schezwan Momo,Anjappar,750,5,Credit Card,Delivered,Veg,,,,
05-08-2023,Monday,Male,Coimbatore,Egg curry,Haribhavanam,1528,3,UPI,Delivered,Non-Veg,,,,
17-04-2023,Friday,Male,Pollachi,Egg curry,Hotel Anjappar,360,2,Debit Card,Delivered,Non-Veg,,,,
17-04-2023,Monday,Female,Madurai,Masala dosa,Zara's Home Food,654,1,UPI,Delivered,Veg,,,,
27-12-2023,Saturday,Male,Thanjavur,Mushroom Biryani,Hotel Junior Kuppanna,2561,4,Debit Card,Delivered,Non-Veg,,,,
25-12-2023,Sunday,Female,Coimbatore,Fish fry,Hotel Saravana Bhavan,782,5,UPI,Delivered,Non-Veg,,,,
25-04-2023,Monday,Female,Coimbatore,Chettinad chicken Gravy,Haribhavanam,2398,2,COD,Delivered,Non-Veg,,,,
06-03-2023,Thursday,Female,Coimbatore,Rose Milk,Sree Annapoorana,200,5,Debit Card,Delivered,Veg,,,,
19-09-2023,Monday,Female,Tiruppur,appam,Hotel Junior Kuppanna,1050,3,COD,Delivered,Veg,,,,
27-10-2023,Monday,Female,Tirunelveli,chicken biryani,Hotel Anjappar,3126,1,UPI,Delivered,Non-Veg,,,,
03-03-2023,Sunday,Female,Coimbatore,Chicken biryani,Haribhavanam,450,4,Debit Card,Delivered,Non-Veg,,,,
08-01-2023,Saturday,Male,Dindigul,chicken biryani,Denmarrk Drive-Inn Restaurant,1524,1,Debit Card,Delivered,Non-Veg,,,,
15-03-2023,Friday,Female,Coimbatore,Rose Milk,Sree Annapoorana,85,2,Debit Card,Delivered,Veg,,,,
29-03-2023,Thursday,Female,Nagercoil,Gobi manchurian,Junior Kuppanna,605,3,Debit Card,Delivered,Veg,,,,
07-11-2023,Tuesday,Female,Erode,Egg curry,Hotel Anjappar,712,1,COD,Delivered,Non-Veg,,,,
16-08-2023,Thursday,Female,Tirunelveli,Egg curry,Hotel Junior Kuppanna,3157,3,COD,Delivered,Non-Veg,,,,
17-02-2023,Thursday,Female,Salem,Veg Schezwan Momo,Denmarrk Drive-Inn Restaurant,384,4,Debit Card,Delivered,Veg,,,,
14-02-2023,Saturday,Male,Salem,Shawarma,Barbequeen Restaurant,180,3,COD,Delivered,Non-Veg,,,99,
19-02-2023,Sunday,Male,Karur,Mutton curry,Hotel Saravana Bhavan,167,4,Debit Card,Delivered,Non-Veg,,,,
14-05-2023,Wednesday,Female,Tiruvannamalai,Chettinad chicken Gravy,Hotel A2B,1059,1,COD,Delivered,Non-Veg,,,,
16-12-2023,Thursday,Female,Karur,Chocolate Truffle Cake,The Patisserie Karur,602,4,COD,Delivered,Veg,,,,
27-07-2023,Wednesday,Male,Salem,Dosa,Denmarrk Drive-Inn Restaurant,1043,3,UPI,Delivered,Veg,,,,
09-07-2023,Tuesday,Female,Dindigul,Egg curry,Hotel Saravana Bhavan,257,1,COD,Delivered,Non-Veg,,,,
02-11-2023,Saturday,Female,Karur,Veg fried rice,Hotel Saravana Bhavan,3294,5,Credit Card,Delivered,Veg,,,,
18-05-2023,Tuesday,Female,Trichy,Palak paneer,Junior Kuppanna,3012,2,COD,Delivered,Veg,,,,
12-05-2023,Monday,Female,Erode,appam,Anjappar,183,2,COD,Delivered,Veg,,,,
13-06-2023,Monday,Female,Salem,Shawarma,Barbequeen Restaurant,430,5,Credit Card,Delivered,Veg,,,99,
26-03-2023,Sunday,Female,Pollachi,Paneer tikka,Denmarrk Drive-Inn Restaurant,3268,5,UPI,Delivered,Veg,,,,
16-09-2023,Saturday,Female,Avinashi,Masala dosa,Haribhavanam,2294,3,Debit Card,Delivered,Veg,,,,
07-07-2023,Friday,Female,Trichy,Mutton Briyani,Asife Briyani,1742,3,Debit Card,Delivered,Non-Veg,,,,
28-09-2023,Tuesday,Female,Coimbatore,Schezwan fried rice,Sree Annapoorana,180,3,Credit Card,Delivered,Veg,,,,
14-12-2023,Tuesday,Female,Madurai,Jigarthanda,Famous Jigarthanda,320,5,UPI,Delivered,Veg,,,,
22-09-2023,Monday,Female,Coimbatore,Pulao,Hotel A2B,309,1,Debit Card,Delivered,Veg,,,,
25-09-2023,Saturday,Male,Avinashi,Chilli chicken,Haribhavanam,1822,3,Debit Card,Delivered,Non-Veg,,,,
14-05-2023,Saturday,Male,Coimbatore,Veg Schezwan Momo,Hotel Anjappar,750,4,COD,Delivered,Veg,,,,
17-06-2023,Monday,Male,Tirunelveli,Dosa,Saravana Bhavan,250,5,Debit Card,Delivered,Veg,,,,
29-05-2023,Tuesday,Female,Chennai,Hyderabadi Chicken Biryani,Ss Hyderabad Biryani,1952,1,COD,Delivered,Non-Veg,,,,
27-08-2023,Thursday,Female,Thanjavur,Gobi manchurian,Denmarrk Drive-Inn Restaurant,1686,5,Debit Card,Delivered,Veg,,,,
09-03-2023,Tuesday,Female,Nagercoil,Paneer tikka,Hotel Junior Kuppanna,2219,2,UPI,Delivered,Veg,,,,
02-11-2023,Friday,Male,Erode,Gobi manchurian,Denmarrk Drive-Inn Restaurant,2161,1,UPI,Delivered,Veg,,,,
21-09-2023,Tuesday,Female,Avinashi,Mutton curry,Haribhavanam,2006,4,Debit Card,Delivered,Non-Veg,,,,
22-08-2023,Monday,Female,Avinashi,Mutton curry,Haribhavanam,476,5,UPI,Delivered,Non-Veg,,,,
24-05-2023,Monday,Male,Pollachi,idli,Hotel A2B,150,4,Debit Card,Delivered,Veg,,,,
12-05-2023,Sunday,Female,Karur,Chilli chicken,Hotel Saravana Bhavan,601,2,COD,Delivered,Non-Veg,,,,
27-08-2023,Tuesday,Female,Tiruppur,idli,Hotel Anjappar,857,5,Credit Card,Delivered,Veg,,,,
16-05-2023,Monday,Female,Avinashi,Egg curry,Haribhavanam,1248,3,Debit Card,Delivered,Non-Veg,,,,
23-04-2023,Friday,Male,Tirunelveli,appam,Hotel Junior Kuppanna,2733,5,COD,Delivered,Veg,,,,
06-07-2023,Sunday,Male,Salem,Shawarma,Barbequeen Restaurant,180,5,Credit Card,Delivered,Non-Veg,,,99,
06-04-2023,Thursday,Male,Tiruppur,Mutton curry,Denmarrk Drive-Inn Restaurant,1515,5,COD,Delivered,Non-Veg,,,,
30-06-2023,Thursday,Female,Thanjavur,Mushroom Biryani,Hotel Junior Kuppanna,734,5,COD,Delivered,Veg,,,,
